,cultura,cultivo,fazenda,E1_RRLII,E2_TIR,E3_PRC,E4_RBC,E5_VPL,E6_LL,E9_R,E10_PPA,E11_TR,E12_DP,E13_DM,A2_DA,A3_UE,A5_UN,A6_UF,A7_EUE,A8_EUN,A9_EUF,A11_PEPN,A12_PPO,A19_AF,A20_AMO,A22_REC,A1_PRC,A2_PRN,A3_PRF,A4_EUC,S1_DEL,S2_UMOL,S3_RTUP,S3_RTUP.1,S4_EDGI,S6_PA,S7_PA,S8_TRUAO,S9_TRUP,S10_SLT,S11_CLP,S13_CPT,S14_DR,S15_APS,S16_E,S17_PAC,S18_IG,S19_IR,S20_IE
0,Carcinicultura,M. rosenbergii - Espirito Santo-,1,-0.942112434,-0.839782497,-0.747442163,-0.88430162,-0.254734022,-0.273157703,-0.673109819,-0.397503567,0.006537142,-0.508000508,-1.425162476,-0.758456915,-0.486930098,-0.925340668,1.523463928,3.361357408,-0.981899988,1.548494373,0.288405691,0.899046115,0.00579877,-0.035432571,0.288675135,5.97E-10,1.76E-10,1.45E-10,-3.354903741,3.43582806,-1.066986792,-0.199189851,-0.326474088,-0.38290819,1.777040469,-1.078516897,2.007684925,-0.746153759,-2.865112343,3.253395222,-1.077250845,-0.63277111,3.463753534,-0.786189676,-0.547722558,-1.614284282,-0.015125846,-0.181344643
1,Carcinicultura,P. vannamei - Sergipe - Semi intensivo,2,2.444167196,2.196692996,1.370910265,2.539184257,1.9439527,2.340385446,2.166583722,-1.043446863,-0.852733912,1.143001143,-1.425162476,-0.50804506,-0.485602917,0.273753716,-0.409545923,0.339939908,2.538890239,2.031101112,0.435067105,1.625856652,-0.064076987,-0.07935179,-3.464101615,-3.005706176,-2.281013883,-1.695427124,0.990996726,-0.394728061,0.671476306,3.363482852,-0.316466015,-0.406003753,0.961308616,-0.073855838,-1.156981823,2.590560296,-0.797934139,-0.662433001,0.386925363,1.712665608,-0.301291354,2.24371243,-0.547722558,2.435664124,-3.00733203,1.033911648
2,Carcinicultura,L. vannamei - Aquafort,3,-0.777344745,-0.422556856,-0.268325255,-0.540195395,-0.417138209,-0.354454071,-0.772770089,1.281949003,-0.852733912,2.794002794,1.221567837,-0.494139807,-0.486009579,0.762122181,-0.225905473,-0.49508281,0.29251449,0.80958801,-0.73471226,-0.41391184,-0.428646155,-0.618300196,0.288675135,0.120414222,0.87978157,0.654504387,0.322879224,-0.028327041,0.529238416,-0.523893728,-0.601030339,-0.593052825,-1.407372755,1.236002128,-0.475026949,0.751089727,0.649301469,0.120471984,-1.092630847,-0.870713966,-0.297868586,0.546967251,-0.547722558,-0.311308498,0.028467983,-1.738391765
3,Carcinicultura,L. vannamei - Northern,4,-0.738075787,-0.589447113,-0.489039808,-0.536484829,-0.36337089,-0.321661485,-0.674300955,-0.009937589,-0.852733912,-0.508000508,-0.10179732,-0.464099763,-0.486159228,0.12602699,-0.43562495,-0.683613635,-0.870315311,-0.245602995,-0.88838313,-1.370483758,-0.094457751,0.533875435,0.288675135,1.33661757,-0.117994612,1.825333178,0.071943073,-0.183769898,0.671476306,-0.384216641,-0.505275188,-0.534305105,-1.264619681,-0.073855838,1.285566513,1.339292525,0.649301469,0.120471984,-0.585090775,-0.462811928,-0.296727664,-0.786189676,-0.547722558,-0.506681417,0.168524751,-0.540663208
4,Carcinicultura,L. vannamei - Aquacrusta,5,-0.213248191,0.235732487,0.395775289,0.001547321,-0.193271418,-0.114267083,-0.492829804,2.573835594,-0.852733912,1.143001143,0.559885258,-0.27428636,-0.485370814,0.6594046,-0.751542623,-0.169374707,-1.310781144,-0.747295876,1.795600762,-0.167501974,3.080332089,0.47120699,0.288675135,0.563291496,1.674472548,0.784660749,0.037439352,-0.368820918,0.671476306,-0.547475574,-0.567990654,-0.567759637,-1.288071972,2.545860093,-0.344357904,0.184276121,0.649301469,0.120471984,-1.174913859,-0.870713966,-0.297868586,-0.382606715,-0.547722558,-0.367129331,0.03820703,-0.549427077
5,Carcinicultura,L. vannamei - HM,6,-0.644478024,-0.237123239,-0.039169276,-0.406614999,-0.345655707,-0.318066757,-0.683790577,-1.560201499,-0.852733912,-0.508000508,-0.10179732,-0.269304652,-0.485612379,0.638635743,-0.63348529,-0.277006111,0.809327733,0.365153556,-0.980793036,-1.280953482,-0.555095821,-0.439514554,0.288675135,0.47069541,-0.485620899,-0.67127767,0.244461677,-0.126404082,0.671476306,-0.464939114,-0.597163388,-0.583290028,-0.969936549,-1.645685396,-0.069265175,0.146845034,0.649301469,0.120471984,-0.497424763,-0.73474662,-0.284177514,-0.786189676,-0.547722558,-0.751999293,0.245973361,-0.540663208
6,Carcinicultura,L. vannamei - Ilha,7,-0.404087229,-0.160631872,-0.023532751,-0.202533839,-0.141145004,-0.173637231,-0.396228776,-0.397503567,-0.852733912,-0.508000508,-0.10179732,0.00468835,-0.485826006,-0.08899976,-0.662891554,-0.402224345,1.011942017,0.130666666,0.258380611,-0.897531102,-0.497788583,-0.375806518,0.288675135,-0.049133425,-0.532740511,-0.663754133,0.448347299,-0.38547551,0.671476306,-0.427752357,-0.625889667,-0.599588157,-0.568188611,-0.466813227,0.054526553,-0.115172576,0.649301469,0.120471984,-0.472816759,-0.564787437,-0.287600282,-0.786189676,-0.547722558,0.506907411,0.068815462,1.393230214
7,Carcinicultura,L. vannamei - Carpixe,8,0.670991577,1.033097043,1.345956023,0.832714229,0.555129065,0.371374387,0.473129448,0.636005707,0.006537142,-0.508000508,-0.10179732,1.014353702,-0.485467363,0.277970684,-0.722048835,-0.198217109,0.251404345,-0.515535577,0.722570935,-0.101396065,-0.396818688,0.111825987,0.288675135,-0.170375351,-0.640847717,0.395949426,0.053122862,-0.422485714,0.671476306,-0.295331223,-0.600207447,-0.554790358,0.961308616,0.581073145,0.91419133,-0.585734814,0.649301469,-0.271143421,0.948295442,-0.462811928,-0.267063674,-0.786189676,-0.547722558,-1.241166074,-0.217790772,-0.937958534
8,Carcinicultura,L. vannamei - Marinus,9,0.181222659,0.309905934,0.457754207,0.354051144,0.285739937,0.193777653,0.14694534,-0.655880885,0.006537142,-0.508000508,-1.425162476,1.34888505,-0.485625451,1.550973168,-0.517750449,-0.279820004,0.357116145,0.457857675,0.899121509,-0.118122553,-0.493138654,-0.053573118,0.288675135,0.080448845,1.30310842,-0.188860356,0.517354741,-0.29665102,0.671476306,-0.365169766,-0.597509287,-0.573150023,-0.313272406,-0.72878482,0.735381056,-0.136561768,0.649301469,-0.271143421,0.15545633,-0.530795601,-0.263640905,-0.786189676,-0.547722558,1.117998648,-0.385673388,-1.043124944
9,Carcinicultura,L. vannamei - Aquabrasilis,10,1.228448844,1.496681088,1.799179004,1.393009778,1.957549327,1.556248539,2.23608379,-0.009937589,0.006537142,-0.508000508,-0.763479898,2.648822743,-0.485523464,-0.199182715,-0.930004192,0.00227276,-0.315328361,-0.136539325,1.489065019,2.129743358,1.158748765,3.082831974,0.288675135,-0.83451168,-0.953346978,-1.776082403,0.162907428,-0.507609184,0.671476306,-0.513009799,-0.624057251,-0.589941682,0.247543243,-0.073855838,0.508429555,-0.794279443,0.649301469,-0.662758825,-0.97189783,-0.802730293,-0.263640905,-0.786189676,-0.547722558,0.595045571,-0.217790772,1.89569195
10,Carcinicultura,L. vannamei - Aquarium - baixa densid.,11,0.690828474,-0.709978964,-1.334494698,-0.700726222,-0.481588285,-0.39969925,-0.55427761,-0.139126248,1.696751634,-0.508000508,1.221567837,-0.782979498,1.258373674,0.686781497,2.470113447,-0.399410452,-0.594290055,-1.232629206,-1.1270698,0.423036398,-0.543225036,-0.867947034,0.288675135,0.80685682,0.760649232,1.057723486,0.144087216,-0.191171939,-1.435751691,0.119165067,1.261270417,1.292484549,0.451476207,-0.073855838,-1.152717886,-0.874488915,-0.510455089,-0.662758825,1.383549504,1.40673908,-0.301291354,1.031751588,1.825741858,0.045651047,1.097908073,0.40291319
11,Carcinicultura,L. vannamei - Aquarium - alta densis,12,-1.371237127,-1.49111808,-1.299131191,-1.033700747,-1.9727043,-2.019983835,-0.187534311,-0.139126248,1.696751634,-0.508000508,1.221567837,-0.670214844,2.935050942,-2.405716573,0.279919448,-0.329063129,-0.594290055,-1.232629206,-1.061103567,-0.465041434,-0.455381227,-0.865479975,0.288675135,0.405263994,0.273789136,-0.282284812,0.117948034,-0.228182143,-1.96255869,0.119165067,2.050396453,2.067863207,0.961308616,-0.073855838,-1.154712308,-0.885183512,-0.510455089,-0.662758825,1.614249537,1.40673908,-0.301291354,1.031751588,1.825741858,0.045651047,1.097908073,0.40291319
12,Carcinicultura,L. vannamei - Aquarium-  bifasico,13,-0.125075212,-0.821470927,-1.168439648,-0.815949078,-0.572763192,-0.48685861,-0.587900359,-0.139126248,1.696751634,-0.508000508,1.221567837,-0.795222946,0.664702682,-1.356428863,1.015302466,-0.469757774,-0.594290055,-1.232629206,-1.096149841,-0.262740314,-0.716250721,-0.86433463,0.288675135,0.276138276,0.119763693,0.559515273,0.24341611,-0.302202551,-1.435751691,0.119165067,2.050396453,2.024442002,0.451476207,-0.073855838,-1.152717886,-0.874488915,-0.510455089,-0.662758825,1.383549504,1.40673908,-0.301291354,1.031751588,1.825741858,0.045651047,1.097908073,0.40291319
