,cultura,cultivo,fazenda,E1_RRLII,E2_TIR,E3_PRC,E4_RBC,E5_VPL,E6_LL,E9_R,E11_TR,E12_DP,E13_DM,A2_DA,A3_UE,A5_UN,A6_UF,A7_EUE,A8_EUN,A9_EUF,A12_PPO,A22_REC,A4_EUC,S1_DEL,S2_UMOL,S3_RTUP,S6_PA,S8_TRUAO,S9_TRUP,S10_SLT,S11_CLP,S13_CPT,S14_DR,S18_IG,S19_IR,S20_IE
0,Piscicultura,Truta - race-way,1,-1.134559921,-0.428406101,-0.297835767,-0.391203961,2.48250986,1.882159483,2.240298828,-0.24114386,-0.586170096,-0.378131175,3.122172099,-0.557896442,-0.56166929,-0.197902782,0.483326259,1.267755663,-0.227592587,-1.335571479,-0.756929275,-1.015822231,-1.230751822,-3.31662479,-0.820968125,-0.951097567,-0.891008526,-0.664628824,1.876658829,-1.99438473,-0.021042841,-1.62607356,2.211263035,2.686547429,0.580726512
1,Piscicultura,Tilapia - gaiolas - SP -  sem restricao alimentar,2,-1.44E-10,1.478049364,-1.091456503,-0.522448067,-0.203191905,0.17607211,-0.467979979,-1.02725521,-1.148893389,0.478014881,1.41E-10,1.955369804,1.146380008,-0.310220198,1.961235844,1.38395768,2.095117993,-9.42E-11,-0.756929275,1.597612527,-1.62E-11,0.301511345,-1.034859568,1.00E-10,-0.879577105,-0.663890571,-1.361382833,0,-0.167998235,-6.64E-11,-1.04E-10,1.11E-10,-1.06E-10
2,Piscicultura,Tilapia - gaiolas - SP - com restricao alimentar,3,-1.44E-10,1.54605331,-1.09729195,-0.521346477,-0.213414103,0.155704792,-0.46658392,-1.02725521,-1.148893389,0.478014881,1.41E-10,2.316822568,1.284579752,-0.285436614,2.219216994,1.498797481,2.158005717,-9.42E-11,-0.756929275,2.078678318,-1.62E-11,0.301511345,-1.022196054,1.00E-10,-0.88107685,-0.664021388,-1.361382833,0,-0.200682071,-6.64E-11,-1.04E-10,1.11E-10,-1.06E-10
3,Piscicultura,Tilapia - gaiola - RS,4,-1.147544945,-1.239763532,-1.73E-10,-0.006560312,-0.749713492,-0.956474668,-0.883275629,-1.034841574,-1.148893389,-1.234277231,0.377571983,-0.28891141,2.504503341,3.256382321,-0.439364193,-0.555704568,0.129240464,-9.42E-11,-0.756929275,3.15E-16,-1.62E-11,0.301511345,0.065736855,1.00E-10,-0.010476818,-0.105937905,4.38E-11,0,0.081589848,-6.64E-11,-1.04E-10,1.11E-10,-1.06E-10
4,Piscicultura,Tambatinga - viveiro 2,5,0.701290324,-0.557708556,-0.026879531,-0.507694837,-0.465226989,-0.46149677,-0.649024683,-0.733232342,1.852297505,-0.977433414,-0.007745291,-0.547845164,-0.551643829,-0.334452125,-0.696610789,-1.312654122,-0.710166157,2.676561033,-0.621359853,3.15E-16,-1.201980168,0.301511345,-0.723105406,1.090559386,0.115244994,1.165316956,4.38E-11,0.809002049,-0.89748833,0.362524741,-0.889631488,-0.778832797,-1.011748696
5,Piscicultura,Tambatinga - viveiro 23,6,-0.570101395,-1.191255123,1.740550592,2.212799506,-0.749713492,-0.956474668,-0.099224802,-0.876758149,-0.30480845,-1.234277231,-0.402885767,-0.558540902,-0.58531152,-0.423499839,-0.701699742,-1.315226768,-0.717849193,-0.141897956,-0.621359853,3.15E-16,-1.200792069,0.301511345,-0.467427097,-1.498396752,-0.140599146,1.508599318,4.38E-11,-0.148533353,-0.895783346,-6.64E-11,-0.884797979,-0.781474002,-1.009361094
6,Piscicultura,Tambatinga - viveiro 250,7,-0.734410431,-1.256885169,2.246256816,2.212799506,-0.749713492,-0.956474668,1.94253552,0,1.664723074,-1.234277231,-0.451036013,-0.558319626,-0.553444332,-0.378882034,-0.698921879,-1.312896575,-0.713703687,-1.250453109,-0.621359853,3.15E-16,-1.197883475,0.301511345,-0.053967682,1.00E-10,-0.542013458,2.29208042,4.38E-11,-1.648287597,-0.893465859,-6.64E-11,-0.883677036,-0.782943545,-1.001854287
7,Piscicultura,Tambaqui - M amazonicum - policultivo - SP,8,2.380831827,0.969192247,-0.877490128,-0.509253654,1.612680989,1.899170715,0.422375455,0,-0.023446804,0.478014881,-0.670878297,-0.56082289,-0.346643571,0.063158972,0.016583106,0.342044513,0.092889178,-9.42E-11,1.412181483,-0.062739138,1.275338418,0.301511345,0.065736855,-0.283363185,2.783294704,-0.246978262,4.38E-11,0,2.189103822,-6.64E-11,-1.04E-10,1.11E-10,-1.06E-10
8,Piscicultura,Tilapia - tanque rede - RN,10,-0.902170022,1.119269922,-0.708262177,-0.355903987,-0.573368498,-0.474400918,-0.704966624,2.014261683,1.101999781,2.190306994,1.41E-10,0.482285139,-0.561161612,0.092326126,-0.521051277,-0.663827632,-0.125218536,-9.42E-11,-0.756929275,3.15E-16,-1.62E-11,0.301511345,-0.188864412,1.719439397,-0.857786021,-0.654079331,1.912769476,1.466586602,2.048528181,2.482334779,1.950606296,1.375874228,2.816734825
9,Piscicultura,Lambari - semi intensivo - baixo controle,11,-0.216173051,-0.432046659,0.292423394,-0.535470488,-0.516441386,-0.682755312,-0.705520472,0.373966743,0.164127627,0.192632863,-0.704105527,-0.560740712,-0.516822296,-0.500682401,-0.188447281,0.092174861,-0.534044006,-0.851369361,1.412181483,0.176814566,1.553792889,0.301511345,2.665835886,1.719439397,0.01267206,-0.647569269,-1.048704758,1.466586602,-0.471214507,-1.630480263,-0.751814219,-0.746754401,-0.731337123
10,Piscicultura,Lambari - semi intensivo - médio controle,12,0.500027335,-0.092333232,-0.272654636,-0.545782821,0.630059554,0.921091797,-0.006966561,1.27612896,-0.023446804,0.478014881,-0.63948012,-0.560741261,-0.624850558,-0.499455426,-0.716414795,0.204507341,-0.726703854,0.861371872,1.412181483,-1.711763124,1.244399033,0.301511345,0.466609023,-1.06231987,0.565772086,-0.65857581,-0.088964023,0.428295202,-0.456061152,-0.193691735,-0.602155801,-0.606022521,-0.026620379
11,Piscicultura,Lambari - semi intensivo - alto controle,13,1.122810279,0.08583353,0.092639889,-0.529934407,-0.504467047,-0.54612189,-0.621667133,1.27612896,-0.398595666,0.7633969,-0.623613067,-0.560659104,-0.633916096,-0.481336,-0.717852248,0.371072126,-0.719975331,0.041359,1.412181483,-1.062780917,0.757877193,0.301511345,1.047469724,-0.734260807,0.725554081,-0.660315334,0.071006141,-0.379264775,-0.315485511,0.605386038,-0.149792807,-0.366394391,0.383460242
